"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Normal KCC","110","91","Normal","Sugar Cane Plant","2023-06-19","26000","12","2024-06-18","12","0.01","12.01","26000","0","91150301037001",
,"Normal KCC","112","93","Normal","Sugar Cane Plant","2023-06-19","55000","12","2024-06-18","12","0.01","12.01","55000","0","91150301037001",
,"Normal KCC","113","94","Normal","Sugar Cane Plant","2023-06-19","160000","12","2024-06-18","12","0.01","12.01","160000","0","91150301037001",
,"Normal KCC","115","96","Normal","Sugar Cane Plant","2023-06-19","125000","12","2024-06-18","12","0.01","12.01","125000","0","91150301037001",
,"Normal KCC","118","99","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","121","102","Normal","Sugar Cane Plant","2023-06-19","26000","12","2024-06-18","12","0.01","12.01","26000","0","91150301037001",
,"Normal KCC","122","103","Normal","Sugar Cane Plant","2023-06-19","26000","12","2024-06-18","12","0.01","12.01","26000","0","91150301037001",
,"Normal KCC","90","104","Normal","Sugar Cane Plant","2023-06-19","40000","12","2024-06-18","12","0.01","12.01","40000","0","91150301037001",
,"Normal KCC","58","105","Normal","Sugar Cane Plant","2023-06-19","1700","12","2024-06-18","12","0.01","12.01","1700","0","91150301037001",
,"Normal KCC","59","106","Normal","Sugar Cane Plant","2023-06-19","1700","12","2024-06-18","12","0.01","12.01","1700","0","91150301037001",
,"Normal KCC","142","108","Normal","Sugar Cane Plant","2023-06-19","85000","12","2024-06-18","12","0.01","12.01","85000","0","91150301037001",
,"Normal KCC","176","109","Normal","Sugar Cane Plant","2023-06-19","130000","12","2024-06-18","12","0.01","12.01","130000","0","91150301037001",
,"Normal KCC","139","110","Normal","Sugar Cane Plant","2023-06-19","30000","12","2024-06-18","12","0.01","12.01","30000","0","91150301037001",
,"Normal KCC","143","112","Normal","Sugar Cane Plant","2023-06-19","150000","12","2024-06-18","12","0.01","12.01","150000","0","91150301037001",
,"Normal KCC","159","113","Normal","Sugar Cane Plant","2023-06-19","34000","12","2024-06-18","12","0.01","12.01","34000","0","91150301037001",
,"Normal KCC","160","114","Normal","Sugar Cane Plant","2023-06-19","34000","12","2024-06-18","12","0.01","12.01","34000","0","91150301037001",
,"Normal KCC","153","115","Normal","Sugar Cane Plant","2023-06-19","45000","12","2024-06-18","12","0.01","12.01","45000","0","91150301037001",
,"Normal KCC","105","116","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","161","117","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","154","118","Normal","Sugar Cane Plant","2023-06-19","150000","12","2024-06-18","12","0.01","12.01","150000","0","91150301037001",
,"Normal KCC","162","119","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","163","120","Normal","Sugar Cane Plant","2023-06-19","85000","12","2024-06-18","12","0.01","12.01","85000","0","91150301037001",
,"Normal KCC","150","121","Normal","Sugar Cane Plant","2023-06-19","137000","12","2024-06-18","12","0.01","12.01","137000","0","91150301037001",
,"Normal KCC","169","122","Normal","Sugar Cane Plant","2023-06-19","105000","12","2024-06-18","12","0.01","12.01","105000","0","91150301037001",
,"Normal KCC","164","124","Normal","Sugar Cane Plant","2023-06-19","48000","12","2024-06-18","12","0.01","12.01","48000","0","91150301037001",
,"Normal KCC","165","128","Normal","Sugar Cane Plant","2023-06-19","9600","12","2024-06-18","12","0.01","12.01","9600","0","91150301037001",
,"Normal KCC","168","130","Normal","Sugar Cane Plant","2023-06-19","70000","12","2024-06-18","12","0.01","12.01","70000","0","91150301037001",
,"Normal KCC","156","131","Normal","Sugar Cane Plant","2023-06-19","40000","12","2024-06-18","12","0.01","12.01","40000","0","91150301037001",
,"Normal KCC","174","132","Normal","Sugar Cane Plant","2023-06-19","49000","12","2024-06-18","12","0.01","12.01","49000","0","91150301037001",
,"Normal KCC","175","133","Normal","Sugar Cane Plant","2023-06-19","60000","12","2024-06-18","12","0.01","12.01","60000","0","91150301037001",
,"Normal KCC","84","136","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","194","137","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","195","138","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","196","139","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","134","141","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","135","142","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","136","143","Normal","Sugar Cane Plant","2023-06-19","50000","12","2024-06-18","12","0.01","12.01","50000","0","91150301037001",
,"Normal KCC","198","144","Normal","Sugar Cane Plant","2023-06-19","4000","12","2024-06-18","12","0.01","12.01","4000","0","91150301037001",
,"Normal KCC","199","145","Normal","Sugar Cane Plant","2023-06-19","8700","12","2024-06-18","12","0.01","12.01","8700","0","91150301037001",
,"Normal KCC","200","146","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","201","147","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","202","148","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","203","149","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","204","150","Normal","Sugar Cane Plant","2023-06-19","75000","12","2024-06-18","12","0.01","12.01","75000","0","91150301037001",
,"Normal KCC","207","153","Normal","Sugar Cane Plant","2023-06-19","65000","12","2024-06-18","12","0.01","12.01","65000","0","91150301037001",
,"Normal KCC","184","154","Normal","Sugar Cane Plant","2023-06-19","20000","12","2024-06-18","12","0.01","12.01","20000","0","91150301037001",
,"Normal KCC","185","155","Normal","Sugar Cane Plant","2023-06-19","21000","12","2024-06-18","12","0.01","12.01","21000","0","91150301037001",
,"Normal KCC","186","156","Normal","Sugar Cane Plant","2023-06-19","20000","12","2024-06-18","12","0.01","12.01","20000","0","91150301037001",
,"Normal KCC","187","157","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","188","158","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","180","160","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","208","162","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","209","163","Normal","Sugar Cane Plant","2023-06-19","42000","12","2024-06-18","12","0.01","12.01","42000","0","91150301037001",
,"Normal KCC","210","164","Normal","Sugar Cane Plant","2023-06-19","32000","12","2024-06-18","12","0.01","12.01","32000","0","91150301037001",
,"Normal KCC","211","165","Normal","Sugar Cane Plant","2023-06-19","32000","12","2024-06-18","12","0.01","12.01","32000","0","91150301037001",
,"Normal KCC","182","166","Normal","Sugar Cane Plant","2023-06-19","20000","12","2024-06-18","12","0.01","12.01","20000","0","91150301037001",
,"Normal KCC","183","167","Normal","Sugar Cane Plant","2023-06-19","21000","12","2024-06-18","12","0.01","12.01","21000","0","91150301037001",
,"Normal KCC","213","168","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","214","169","Normal","Sugar Cane Plant","2023-06-19","15000","12","2024-06-18","12","0.01","12.01","15000","0","91150301037001",
,"Normal KCC","215","170","Normal","Sugar Cane Plant","2023-06-19","20000","12","2024-06-18","12","0.01","12.01","20000","0","91150301037001",
,"Normal KCC","217","172","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","218","173","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","190","174","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","191","175","Normal","Sugar Cane Plant","2023-06-19","90000","12","2024-06-18","12","0.01","12.01","90000","0","91150301037001",
,"Normal KCC","219","176","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","220","177","Normal","Sugar Cane Plant","2023-06-19","36000","12","2024-06-18","12","0.01","12.01","36000","0","91150301037001",
,"Normal KCC","222","178","Normal","Sugar Cane Plant","2023-06-19","36000","12","2024-06-18","12","0.01","12.01","36000","0","91150301037001",
,"Normal KCC","224","179","Normal","Sugar Cane Plant","2023-06-19","125000","12","2024-06-18","12","0.01","12.01","125000","0","91150301037001",
,"Normal KCC","225","180","Normal","Sugar Cane Plant","2023-06-19","110000","12","2024-06-18","12","0.01","12.01","110000","0","91150301037001",
,"Normal KCC","158","182","Normal","Sugar Cane Plant","2023-06-19","24000","12","2024-06-18","12","0.01","12.01","24000","0","91150301037001",
,"Normal KCC","234","184","Normal","Sugar Cane Plant","2023-06-19","75000","12","2024-06-18","12","0.01","12.01","75000","0","91150301037001",
,"Normal KCC","212","185","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","236","186","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","237","187","Normal","Sugar Cane Plant","2023-06-19","105000","12","2024-06-18","12","0.01","12.01","105000","0","91150301037001",
,"Normal KCC","221","188","Normal","Sugar Cane Plant","2023-06-19","63500","12","2024-06-18","12","0.01","12.01","63500","0","91150301037001",
,"Normal KCC","223","189","Normal","Sugar Cane Plant","2023-06-19","41000","12","2024-06-18","12","0.01","12.01","41000","0","91150301037001",
,"Normal KCC","238","190","Normal","Sugar Cane Plant","2023-06-19","41000","12","2024-06-18","12","0.01","12.01","41000","0","91150301037001",
,"Normal KCC","425","192","Normal","Sugar Cane Plant","2023-06-19","120000","12","2024-06-18","12","0.01","12.01","120000","0","91150301037001",
,"Normal KCC","426","193","Normal","Sugar Cane Plant","2023-06-19","120000","12","2024-06-18","12","0.01","12.01","120000","0","91150301037001",
,"Normal KCC","429","194","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","437","196","Normal","Sugar Cane Plant","2023-06-19","40000","12","2024-06-18","12","0.01","12.01","40000","0","91150301037001",
,"Normal KCC","438","197","Normal","Sugar Cane Plant","2023-06-19","35000","12","2024-06-18","12","0.01","12.01","35000","0","91150301037001",
,"Normal KCC","439","198","Normal","Sugar Cane Plant","2023-06-19","140000","12","2024-06-18","12","0.01","12.01","140000","0","91150301037001",
,"Normal KCC","441","199","Normal","Sugar Cane Plant","2023-06-19","150000","12","2024-06-18","12","0.01","12.01","150000","0","91150301037001",
,"Normal KCC","331","201","Normal","Sugar Cane Plant","2023-06-19","125000","12","2024-06-18","12","0.01","12.01","125000","0","91150301037001",
,"Normal KCC","444","202","Normal","Sugar Cane Plant","2023-06-19","12000","12","2024-06-18","12","0.01","12.01","12000","0","91150301037001",
,"Normal KCC","445","203","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","446","204","Normal","Sugar Cane Plant","2023-06-19","110000","12","2024-06-18","12","0.01","12.01","110000","0","91150301037001",
