AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
190,Normal KCC,174,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
191,Normal KCC,175,19-06-2023,,90000,0,0,0,0,0,0,90000,0,0,0,0,91150301037001,,Sugar Cane Plant
219,Normal KCC,176,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
220,Normal KCC,177,19-06-2023,,36000,0,0,0,0,0,0,36000,0,0,0,0,91150301037001,,Sugar Cane Plant
222,Normal KCC,178,19-06-2023,,36000,0,0,0,0,0,0,36000,0,0,0,0,91150301037001,,Sugar Cane Plant
224,Normal KCC,179,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
225,Normal KCC,180,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
158,Normal KCC,182,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
234,Normal KCC,184,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
212,Normal KCC,185,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
236,Normal KCC,186,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
237,Normal KCC,187,19-06-2023,,105000,0,0,0,0,0,0,105000,0,0,0,0,91150301037001,,Sugar Cane Plant
221,Normal KCC,188,19-06-2023,,63500,0,0,0,0,0,0,63500,0,0,0,0,91150301037001,,Sugar Cane Plant
223,Normal KCC,189,19-06-2023,,41000,0,0,0,0,0,0,41000,0,0,0,0,91150301037001,,Sugar Cane Plant
238,Normal KCC,190,19-06-2023,,41000,0,0,0,0,0,0,41000,0,0,0,0,91150301037001,,Sugar Cane Plant
425,Normal KCC,192,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
426,Normal KCC,193,19-06-2023,,120000,0,0,0,0,0,0,120000,0,0,0,0,91150301037001,,Sugar Cane Plant
429,Normal KCC,194,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
437,Normal KCC,196,19-06-2023,,40000,0,0,0,0,0,0,40000,0,0,0,0,91150301037001,,Sugar Cane Plant
438,Normal KCC,197,19-06-2023,,35000,0,0,0,0,0,0,35000,0,0,0,0,91150301037001,,Sugar Cane Plant
439,Normal KCC,198,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
441,Normal KCC,199,19-06-2023,,150000,0,0,0,0,0,0,150000,0,0,0,0,91150301037001,,Sugar Cane Plant
331,Normal KCC,201,19-06-2023,,125000,0,0,0,0,0,0,125000,0,0,0,0,91150301037001,,Sugar Cane Plant
444,Normal KCC,202,19-06-2023,,12000,0,0,0,0,0,0,12000,0,0,0,0,91150301037001,,Sugar Cane Plant
445,Normal KCC,203,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
446,Normal KCC,204,19-06-2023,,110000,0,0,0,0,0,0,110000,0,0,0,0,91150301037001,,Sugar Cane Plant
447,Normal KCC,205,19-06-2023,,24000,0,0,0,0,0,0,24000,0,0,0,0,91150301037001,,Sugar Cane Plant
